Email,Courses 1,Course 1 Section,Course 1 HW_No,Course 1 HW_Grade,Courses 2,Course 2 Section,Course 2 HW_No,Course 2 HW_Grade,Courses 3,Course 3 Section,Course 3 HW_No,Course 3 HW_Grade
jze6681@lionstate.edu,CMPSC475,1,1,75,CMPSC431W,1,1,80,ECON201,1,1,100
jpa6316@lionstate.edu,ECON101,1,1,89,EE353,2,1,82,CHEM110,2,1,85
lke7167@lionstate.edu,MATH140,2,1,96,EE353,1,1,63,MATH141,1,1,100
kst7090@lionstate.edu,ECON101,1,1,95,STAT415,1,1,70,CMPSC448,1,1,85
mst7516@lionstate.edu,STAT415,2,1,93,CMPEN411,1,1,87,CMPSC311,2,1,61
ihu2594@lionstate.edu,CMPSC431W,1,1,93,CMPSC497,2,1,96,CMPSC475,1,1,67
sma8389@lionstate.edu,STAT318,1,1,78,CMPEN411,2,1,62,CSE583,1,1,85
jsc7283@lionstate.edu,CMPSC475,2,1,99,DS120,1,1,79,CMPEN431,1,1,87
mbl5527@lionstate.edu,DS120,2,1,86,CMPSC475,2,1,63,EE340,2,1,95
rmc1213@lionstate.edu,CMPEN454,1,1,67,EE311,1,1,92,MATH141,1,1,98
mge3655@lionstate.edu,PHYS214,1,1,77,ECON102,1,1,63,IST110,2,1,90
kca7584@lionstate.edu,EE211,1,1,82,CMPSC311,1,1,84,EE330,1,1,68
rhi3330@lionstate.edu,DS120,2,1,78,ECON201,1,1,88,CMPSC465,1,1,79
jha3634@lionstate.edu,EE352,2,1,69,CMPSC131,1,1,86,EE330,2,1,86
mse3018@lionstate.edu,ECON101,1,1,68,EE210,2,1,97,EE353,2,1,67
jle7688@lionstate.edu,ECON102,2,1,65,EE340,1,1,82,DS120,1,1,79
mre6097@lionstate.edu,PHYS213,2,1,87,MATH141,1,1,88,ECON201,1,1,64
mar7316@lionstate.edu,CMPEN270,1,1,100,EE353,2,1,76,CMPEN411,2,1,70
rbo4096@lionstate.edu,CMPEN351,1,1,86,STAT415,2,1,78,ECON102,1,1,68
jco8261@lionstate.edu,PHYS211,1,1,66,CMPSC465,2,1,63,CMPEN454,2,1,87
kgu3649@lionstate.edu,EE352,2,1,94,IST128,1,1,64,ECON101,1,1,95
lgr2017@lionstate.edu,CMPSC131,1,1,70,CMPSC465,2,1,92,MATH230,2,1,68
sgr6837@lionstate.edu,CMPSC497,2,1,69,CHEM112,1,1,90,PHYS211,1,1,72
tpr4269@lionstate.edu,CMPEN441,2,1,66,DS120,2,1,68,EE340,2,1,71
sbo2144@lionstate.edu,IST128,1,1,60,PHYS212,2,1,80,EE210,2,1,61
mha5312@lionstate.edu,CMPSC497,2,1,80,PHYS211,2,1,85,CMPEN331,2,1,89
vsa8991@lionstate.edu,IST110,2,1,85,MATH230,1,1,83,CHEM111,2,1,92
mma8341@lionstate.edu,STAT319,1,1,66,MATH141,2,1,66,PHYS213,2,1,90
tgl2369@lionstate.edu,CMPEN441,1,1,82,CHEM110,2,1,71,CMPSC497,2,1,77
mku3151@lionstate.edu,CSE543,1,1,88,EE340,2,1,65,EE353,2,1,60
sal4395@lionstate.edu,CSE543,1,1,72,EE352,2,1,61,CMPSC461,1,1,89
kni2503@lionstate.edu,ECON201,2,1,76,CMPEN441,1,1,73,EE353,1,1,76
jki2803@lionstate.edu,CMPEN362,2,1,88,PHYS213,1,1,64,ECON102,1,1,60
mdu3807@lionstate.edu,CMPSC448,1,1,68,CMPEN270,2,1,78,STAT415,2,1,62
mch6748@lionstate.edu,IST110,2,1,89,CMPEN331,1,1,79,CMPEN351,1,1,94
lla3945@lionstate.edu,CMPSC132,1,1,62,IST110,2,1,79,ECON101,1,1,97
mre5662@lionstate.edu,ECON201,2,1,67,CHEM112,2,1,72,DS220,1,1,97
tba6345@lionstate.edu,EE311,2,1,89,CMPSC132,2,1,72,IST558,1,1,77
wmo7407@lionstate.edu,MATH231,2,1,95,CMPSC448,2,1,77,CMPSC131,2,1,71
jbr7032@lionstate.edu,CMPEN454,2,1,91,CHEM111,1,1,68,MATH231,1,1,100
ko'2102@lionstate.edu,CHEM110,1,1,63,CMPSC360,2,1,86,CMPEN431,2,1,78
zjo1462@lionstate.edu,EE311,2,1,61,CMPSC465,2,1,61,CSE543,1,1,96
mba9287@lionstate.edu,PHYS211,1,1,92,EE340,2,1,96,DS120,2,1,93
mru3829@lionstate.edu,EE320,2,1,69,MATH230,2,1,73,CMPEN431,2,1,85
mde6603@lionstate.edu,EE311,1,1,89,CMPEN411,1,1,72,IST128,2,1,90
kmi8049@lionstate.edu,DS120,2,1,90,CSE583,2,1,64,CMPEN431,2,1,98
sgl1030@lionstate.edu,CMPEN270,1,1,100,MATH231,2,1,79,IST558,1,1,64
mst1558@lionstate.edu,MATH140,2,1,94,CMPSC448,2,1,71,CMPEN351,2,1,81
tmo8266@lionstate.edu,STAT318,2,1,94,DS120,2,1,71,CMPSC221,1,1,85
jgr3574@lionstate.edu,CMPEN411,2,1,94,CMPEN351,1,1,96,STAT319,1,1,91
ycr1322@lionstate.edu,CMPEN270,1,1,91,EE352,2,1,61,CMPEN441,2,1,90
sst9336@lionstate.edu,CSE583,1,1,82,STAT414,1,1,62,ECON101,2,1,74
rbo1548@lionstate.edu,PHYS214,2,1,86,CMPEN431,1,1,67,EE210,1,1,64
zre8115@lionstate.edu,CHEM110,2,1,79,CMPSC448,1,1,77,MATH141,1,1,63
rch5723@lionstate.edu,EE212,2,1,95,CMPSC465,1,1,70,EE353,1,1,70
jtu5218@lionstate.edu,CMPSC221,2,1,68,CMPEN431,2,1,86,CSE543,2,1,95
lob8984@lionstate.edu,CMPEN270,2,1,79,CMPEN331,1,1,87,CMPSC221,1,1,67
tru4888@lionstate.edu,STAT414,1,1,75,EE211,1,1,85,STAT318,2,1,79
lru4870@lionstate.edu,CMPSC475,2,1,66,CHEM110,1,1,85,MATH230,2,1,83
xgr6403@lionstate.edu,PHYS212,2,1,81,CMPEN331,1,1,73,ECON101,1,1,86
mel4420@lionstate.edu,CSE583,2,1,92,STAT318,1,1,87,MATH231,2,1,99
lre4938@lionstate.edu,EE211,1,1,82,ECON101,1,1,87,EE320,1,1,77
she6009@lionstate.edu,CMPEN351,1,1,64,MATH231,1,1,84,ECON102,2,1,98
lan4217@lionstate.edu,EE320,2,1,95,DS120,2,1,86,CMPEN454,1,1,75
msc4152@lionstate.edu,DS120,2,1,64,CHEM110,2,1,60,CMPSC475,2,1,90
tba6085@lionstate.edu,CMPSC461,1,1,87,CMPSC475,2,1,79,PHYS211,2,1,75
mmu4907@lionstate.edu,STAT415,1,1,70,PHYS214,2,1,76,CMPSC311,2,1,89
tha7400@lionstate.edu,EE212,1,1,65,MATH141,2,1,65,CMPEN331,2,1,70
kko5971@lionstate.edu,MATH141,2,1,74,STAT318,1,1,73,EE211,1,1,96
ndo9422@lionstate.edu,EE211,1,1,67,IST110,1,1,64,CHEM112,1,1,78
sbr4537@lionstate.edu,EE353,2,1,96,EE330,2,1,65,MATH230,1,1,88
rru5828@lionstate.edu,CMPEN431,2,1,82,CMPSC360,1,1,92,CMPSC311,1,1,74
mma5417@lionstate.edu,CMPSC131,1,1,82,CMPSC221,1,1,88,CMPSC360,1,1,63
mre1388@lionstate.edu,PHYS213,1,1,67,STAT319,2,1,97,CMPEN431,2,1,90
lgi1280@lionstate.edu,CHEM110,2,1,87,MATH230,2,1,95,MATH231,2,1,81
jor1361@lionstate.edu,CMPEN331,2,1,62,CMPEN362,1,1,81,EE320,2,1,65
mar8229@lionstate.edu,CMPSC221,2,1,65,CMPSC465,2,1,87,CHEM111,1,1,81
mcu4958@lionstate.edu,STAT414,2,1,80,CMPSC465,2,1,69,STAT319,1,1,88
rsc2927@lionstate.edu,IST110,1,1,64,CMPEN351,2,1,97,CMPSC465,2,1,79
myv4130@lionstate.edu,IST558,2,1,92,CMPSC497,1,1,62,PHYS213,1,1,63
mvo3769@lionstate.edu,CMPSC132,1,1,77,ECON102,1,1,93,PHYS213,2,1,80
vwi2326@lionstate.edu,IST110,1,1,65,CMPSC360,1,1,70,STAT414,1,1,73
nre9702@lionstate.edu,ECON101,2,1,97,DS120,1,1,95,CMPSC360,2,1,73
mal1707@lionstate.edu,CMPEN441,2,1,74,IST110,1,1,96,EE352,1,1,95
mco8919@lionstate.edu,EE211,2,1,80,CHEM110,2,1,78,ECON201,1,1,88
lgo6567@lionstate.edu,CSE543,2,1,90,STAT319,1,1,90,CMPEN441,2,1,95
sha4650@lionstate.edu,CMPEN351,1,1,62,CHEM112,2,1,74,MATH230,2,1,85
mtu7648@lionstate.edu,EE311,2,1,80,CMPEN454,2,1,61,CMPEN431,2,1,83
lto6036@lionstate.edu,CSE583,1,1,94,ECON101,2,1,61,MATH141,1,1,66
jwa5124@lionstate.edu,CMPSC465,1,1,90,CHEM112,1,1,100,CMPEN431,1,1,75
kro8698@lionstate.edu,EE211,2,1,60,STAT318,2,1,79,EE352,1,1,73
nfa5557@lionstate.edu,STAT319,2,1,87,CMPSC221,1,1,100,EE210,1,1,67
md'3250@lionstate.edu,IST110,2,1,65,CHEM112,2,1,98,ECON101,1,1,61
mbr4721@lionstate.edu,EE353,2,1,72,CSE583,1,1,91,CMPEN431,2,1,80
mki9627@lionstate.edu,CMPEN411,2,1,80,IST110,2,1,85,EE352,1,1,71
mka2323@lionstate.edu,STAT319,1,1,66,ECON101,1,1,90,CMPSC461,1,1,86
oco4309@lionstate.edu,EE330,1,1,95,CMPEN362,1,1,72,CMPSC448,1,1,72
kma2934@lionstate.edu,CMPSC461,1,1,73,CSE583,1,1,92,CHEM112,1,1,72
jsc1133@lionstate.edu,CMPSC221,2,1,77,CMPEN331,2,1,75,CMPSC131,2,1,78
jwi1131@lionstate.edu,EE311,1,1,99,EE330,2,1,90,STAT318,1,1,62
vla3135@lionstate.edu,CMPSC311,2,1,63,CMPSC448,1,1,93,EE211,1,1,76
pha3837@lionstate.edu,STAT318,1,1,100,CMPEN411,2,1,100,CMPSC431W,2,1,77
mda8856@lionstate.edu,CMPEN454,1,1,65,CMPSC497,2,1,65,CSE543,2,1,65
jhe9677@lionstate.edu,PHYS214,1,1,97,EE211,1,1,63,EE340,2,1,63
mwh8884@lionstate.edu,EE330,2,1,71,CMPEN431,1,1,60,CMPEN441,1,1,92
lda8145@lionstate.edu,EE330,1,1,63,CMPSC131,1,1,80,ECON102,2,1,74
mca2641@lionstate.edu,CSE583,2,1,63,PHYS211,2,1,76,CMPEN454,1,1,78
lgi8755@lionstate.edu,CSE583,1,1,85,EE210,2,1,100,CHEM111,2,1,82
mma7996@lionstate.edu,CMPSC475,1,1,80,CMPSC360,2,1,65,EE353,1,1,60
rco1350@lionstate.edu,CSE543,1,1,62,DS120,2,1,62,CMPSC311,1,1,63
mze1101@lionstate.edu,CMPSC311,1,1,75,ECON101,1,1,87,CHEM110,1,1,67
mle8029@lionstate.edu,CMPSC461,1,1,83,PHYS212,2,1,61,PHYS213,1,1,70
nhi9400@lionstate.edu,CMPEN362,2,1,75,CMPSC448,2,1,92,CHEM111,2,1,73
msc7404@lionstate.edu,MATH141,2,1,77,CMPEN411,2,1,60,STAT319,1,1,95
mpf1895@lionstate.edu,CMPSC431W,1,1,97,CMPSC448,1,1,66,EE330,1,1,93
lja7548@lionstate.edu,MATH140,2,1,97,EE211,2,1,60,CSE543,2,1,65
sro1687@lionstate.edu,CHEM111,1,1,90,CMPSC497,2,1,76,CHEM112,1,1,77
mti1005@lionstate.edu,MATH231,1,1,81,CMPSC360,1,1,88,CMPEN431,2,1,77
lda3697@lionstate.edu,CMPSC497,1,1,63,MATH231,2,1,71,CSE543,1,1,78
svo1567@lionstate.edu,CMPSC132,2,1,74,EE330,1,1,79,CMPSC475,2,1,60
kfa7315@lionstate.edu,IST558,1,1,96,IST128,2,1,60,STAT319,2,1,80
rhe3959@lionstate.edu,CMPEN441,2,1,67,PHYS213,1,1,72,CSE543,2,1,62
vto8500@lionstate.edu,EE212,2,1,88,CMPEN362,1,1,71,ECON201,2,1,82
lul2667@lionstate.edu,STAT319,1,1,93,CMPSC497,2,1,65,DS120,2,1,97
lbe3298@lionstate.edu,EE330,1,1,86,EE210,2,1,75,MATH141,2,1,78
kba3267@lionstate.edu,CMPEN331,1,1,77,MATH141,1,1,98,PHYS214,2,1,66
rve7599@lionstate.edu,CMPSC221,1,1,75,IST110,2,1,61,CMPEN431,1,1,67
mlo5294@lionstate.edu,CSE543,1,1,72,CHEM110,2,1,94,IST558,1,1,99
mjo3251@lionstate.edu,STAT319,2,1,83,EE311,1,1,73,CMPEN331,2,1,83
jfr4395@lionstate.edu,EE340,2,1,73,MATH141,2,1,60,EE210,2,1,76
ltu9306@lionstate.edu,CMPSC311,2,1,81,IST110,2,1,64,MATH230,1,1,68
jsw5249@lionstate.edu,CMPSC132,2,1,99,CMPEN362,1,1,78,CMPEN331,1,1,86
rfe9835@lionstate.edu,CMPSC221,2,1,90,PHYS211,1,1,71,STAT414,2,1,73
jst9690@lionstate.edu,EE352,1,1,66,STAT318,1,1,97,EE330,2,1,68
kka3493@lionstate.edu,CHEM110,1,1,64,CMPEN331,1,1,94,EE211,1,1,100
mra5395@lionstate.edu,EE330,1,1,79,CMPEN411,2,1,93,EE320,2,1,81
ver7410@lionstate.edu,EE330,1,1,81,CSE543,2,1,84,CSE583,1,1,73
mlo6590@lionstate.edu,CMPEN454,2,1,87,CMPSC461,1,1,65,CMPSC311,1,1,72
ldi8835@lionstate.edu,CMPEN270,1,1,92,IST128,2,1,85,CMPSC131,2,1,76
jku5047@lionstate.edu,DS220,2,1,82,CMPSC497,1,1,85,EE352,1,1,66
ina3083@lionstate.edu,EE212,2,1,94,EE320,2,1,74,STAT415,1,1,83
pbe5438@lionstate.edu,CMPEN362,2,1,82,EE320,1,1,97,MATH230,2,1,84
rfr7251@lionstate.edu,PHYS213,2,1,95,MATH231,1,1,72,EE320,2,1,79
mni1754@lionstate.edu,EE211,2,1,75,MATH230,1,1,60,CMPSC311,2,1,88
sma6410@lionstate.edu,CMPEN351,1,1,61,EE311,2,1,95,DS220,2,1,62
lja5065@lionstate.edu,DS220,2,1,60,CMPEN431,2,1,80,MATH141,2,1,87
wru6659@lionstate.edu,CMPSC221,1,1,93,MATH230,2,1,80,STAT414,2,1,83
wle7976@lionstate.edu,EE212,1,1,74,ECON102,2,1,78,MATH140,1,1,89
jri3730@lionstate.edu,CMPSC131,2,1,66,CHEM112,2,1,98,CMPEN454,2,1,68
nsc1496@lionstate.edu,CMPEN441,2,1,96,CMPEN351,2,1,69,EE330,2,1,93
msh8653@lionstate.edu,MATH141,2,1,64,CMPSC311,2,1,76,PHYS212,1,1,71
nan2109@lionstate.edu,EE212,2,1,84,CMPEN431,2,1,69,CMPSC131,1,1,74
lsc8583@lionstate.edu,CMPSC132,2,1,87,CMPEN331,2,1,95,EE212,1,1,96
sma9638@lionstate.edu,CMPSC465,1,1,89,IST110,2,1,86,EE212,1,1,93
rro3378@lionstate.edu,CSE583,1,1,91,EE320,1,1,82,CMPSC132,1,1,90
lwo9519@lionstate.edu,STAT318,2,1,81,ECON201,1,1,96,EE210,1,1,64
ila1616@lionstate.edu,PHYS211,1,1,88,EE352,2,1,74,CMPEN270,2,1,83
mgi5972@lionstate.edu,CHEM112,2,1,62,EE340,1,1,81,EE212,1,1,87
mor3944@lionstate.edu,ECON101,2,1,77,EE311,1,1,62,CMPSC311,1,1,60
pwi6256@lionstate.edu,CMPSC465,2,1,77,CMPEN454,1,1,62,EE330,1,1,71
lma5523@lionstate.edu,CMPEN351,2,1,99,ECON201,1,1,88,ECON102,1,1,82
mja9477@lionstate.edu,IST558,2,1,92,PHYS211,2,1,61,CMPSC448,1,1,90
pco3542@lionstate.edu,PHYS213,2,1,70,CMPEN270,2,1,96,CMPEN431,2,1,62
mfr1531@lionstate.edu,CMPEN351,1,1,90,CHEM111,2,1,96,EE330,1,1,65
jbr5742@lionstate.edu,MATH230,2,1,71,CMPSC360,1,1,89,CMPSC497,1,1,63
mad6762@lionstate.edu,CSE543,2,1,85,ECON201,2,1,96,MATH230,2,1,62
lfr5699@lionstate.edu,CHEM112,2,1,63,CMPEN331,1,1,84,CHEM111,1,1,77
jhu6059@lionstate.edu,EE210,2,1,92,CSE583,1,1,66,CMPSC448,1,1,83
rba4716@lionstate.edu,EE210,1,1,85,EE212,2,1,82,CMPEN270,2,1,98
mra1173@lionstate.edu,CMPSC465,1,1,100,ECON102,2,1,83,CHEM110,1,1,81
mla7040@lionstate.edu,CMPSC431W,2,1,65,ECON102,2,1,91,MATH230,2,1,71
mke5035@lionstate.edu,EE330,1,1,80,CHEM112,2,1,61,EE211,2,1,62
ncu7389@lionstate.edu,CMPSC131,1,1,83,EE320,2,1,100,PHYS211,2,1,73
mjo9620@lionstate.edu,PHYS212,2,1,62,CMPEN441,1,1,79,MATH230,1,1,83
mei1629@lionstate.edu,ECON102,2,1,81,EE311,2,1,70,CMPEN454,1,1,96
mke4315@lionstate.edu,MATH140,2,1,69,MATH141,2,1,72,EE340,1,1,93
myo1601@lionstate.edu,CMPSC311,1,1,97,CMPSC465,1,1,77,STAT319,1,1,100
jmc9625@lionstate.edu,ECON201,2,1,76,ECON102,2,1,90,CHEM111,2,1,90
ufa3951@lionstate.edu,EE210,1,1,82,MATH230,1,1,97,ECON101,1,1,91
mre4255@lionstate.edu,ECON102,2,1,62,EE311,1,1,94,MATH231,2,1,64
mba6793@lionstate.edu,IST128,1,1,61,CMPEN331,2,1,84,EE340,2,1,97
jku3642@lionstate.edu,EE353,1,1,66,CMPEN441,1,1,81,CHEM111,2,1,63
ysc5785@lionstate.edu,CMPEN431,2,1,70,EE212,1,1,100,IST558,1,1,86
rfr5648@lionstate.edu,ECON201,2,1,80,PHYS214,2,1,78,CMPSC221,1,1,70
no'3158@lionstate.edu,CHEM110,2,1,79,EE311,2,1,68,PHYS214,1,1,74
lco5380@lionstate.edu,EE320,2,1,62,EE210,2,1,73,CSE543,1,1,68
ohe2838@lionstate.edu,CMPEN351,1,1,90,MATH231,2,1,74,CSE543,1,1,60
jco2499@lionstate.edu,CMPSC221,2,1,96,CMPSC132,2,1,75,EE352,2,1,83
mmi5755@lionstate.edu,CMPSC448,2,1,98,ECON102,1,1,74,EE210,2,1,70
jha5858@lionstate.edu,CHEM111,2,1,80,PHYS214,1,1,92,DS120,2,1,91
ikr7411@lionstate.edu,CSE583,2,1,67,PHYS213,2,1,66,CMPEN351,2,1,97
tke8544@lionstate.edu,EE210,1,1,95,STAT319,2,1,82,CMPSC132,1,1,95
tsc4447@lionstate.edu,CMPSC360,2,1,77,CMPSC497,1,1,92,EE210,1,1,85
kri1586@lionstate.edu,STAT318,2,1,60,IST110,1,1,78,STAT319,1,1,82
rkr9745@lionstate.edu,CMPEN411,2,1,63,STAT318,1,1,60,STAT319,2,1,84
sgr1392@lionstate.edu,ECON101,1,1,79,CMPSC221,1,1,71,EE320,2,1,89
jlu8446@lionstate.edu,ECON101,2,1,66,CMPSC360,2,1,99,PHYS213,2,1,84
kha2564@lionstate.edu,PHYS214,1,1,71,EE210,1,1,97,MATH140,1,1,69
mel9711@lionstate.edu,MATH231,1,1,89,CMPSC497,1,1,89,EE311,2,1,97
jli1535@lionstate.edu,STAT414,1,1,83,CMPEN270,1,1,69,EE211,1,1,85
swe4161@lionstate.edu,MATH231,2,1,83,PHYS212,1,1,77,CSE583,1,1,90
kho2978@lionstate.edu,CSE543,2,1,61,PHYS212,1,1,75,CMPSC132,2,1,71
mni8737@lionstate.edu,CMPEN331,1,1,80,EE353,1,1,88,PHYS212,2,1,68
mth7915@lionstate.edu,CMPSC465,1,1,82,ECON102,2,1,61,CMPSC132,2,1,87
pfa7621@lionstate.edu,IST128,2,1,62,CMPSC465,2,1,63,CMPEN331,1,1,60
mcr6774@lionstate.edu,CMPEN441,2,1,65,CMPSC497,2,1,84,CMPEN362,2,1,99
mve7191@lionstate.edu,CHEM112,1,1,83,EE353,2,1,77,MATH231,2,1,69
kku3945@lionstate.edu,CMPSC497,1,1,97,MATH231,2,1,67,CSE583,2,1,94
oki8339@lionstate.edu,IST558,2,1,70,STAT319,2,1,60,ECON201,1,1,100
mti9840@lionstate.edu,CHEM111,2,1,95,STAT318,1,1,96,CHEM110,1,1,76
lbo3169@lionstate.edu,CMPEN441,1,1,87,CSE583,1,1,81,EE352,2,1,98
lhi8879@lionstate.edu,CMPSC132,1,1,66,CMPSC131,1,1,87,CSE583,1,1,66
mni9530@lionstate.edu,PHYS211,2,1,68,CHEM111,1,1,67,PHYS212,2,1,70
kab2618@lionstate.edu,CMPSC475,2,1,99,MATH231,1,1,97,EE211,2,1,80
ttu9759@lionstate.edu,CMPSC131,2,1,68,CMPSC360,2,1,69,CMPSC461,1,1,66
mru8732@lionstate.edu,EE311,2,1,64,STAT414,2,1,80,EE353,1,1,78
mau5121@lionstate.edu,DS120,1,1,100,EE210,1,1,84,CMPEN441,2,1,93
mre1486@lionstate.edu,CMPEN411,2,1,96,EE212,1,1,99,PHYS211,1,1,65
osi6913@lionstate.edu,CMPSC131,2,1,76,EE330,2,1,66,MATH141,2,1,94
mis3774@lionstate.edu,PHYS213,2,1,92,IST558,1,1,95,CSE543,2,1,93
mje1517@lionstate.edu,CMPEN351,2,1,85,CHEM110,1,1,100,CMPEN270,1,1,75
pwh2002@lionstate.edu,CMPSC475,2,1,89,CMPSC132,1,1,68,CMPEN411,1,1,79
job4068@lionstate.edu,STAT319,1,1,81,IST128,2,1,62,CMPSC360,1,1,72
kle7587@lionstate.edu,CMPSC497,2,1,80,STAT319,1,1,91,CMPSC461,1,1,81
nsp6459@lionstate.edu,CMPSC465,1,1,85,PHYS211,2,1,88,STAT415,2,1,100
vre1108@lionstate.edu,MATH231,1,1,60,IST558,2,1,100,IST128,1,1,89
mko8498@lionstate.edu,ECON102,1,1,91,STAT318,1,1,69,CMPEN441,2,1,82
tsc3180@lionstate.edu,IST558,2,1,75,ECON101,2,1,95,MATH141,1,1,77
mje1294@lionstate.edu,ECON101,1,1,73,MATH141,2,1,71,EE340,2,1,79
kpa6358@lionstate.edu,STAT415,2,1,96,EE330,2,1,80,MATH141,1,1,93
mem5259@lionstate.edu,MATH231,2,1,93,CMPSC448,2,1,95,EE311,2,1,98
lhe3177@lionstate.edu,EE211,2,1,76,CMPSC475,1,1,85,EE353,1,1,86
kan9497@lionstate.edu,EE352,2,1,87,DS120,2,1,76,CHEM111,2,1,60
wan2968@lionstate.edu,CHEM112,2,1,69,EE211,2,1,84,CMPEN431,2,1,94
lad3683@lionstate.edu,DS220,2,1,82,STAT318,1,1,85,PHYS212,2,1,71
kly7755@lionstate.edu,CHEM110,2,1,65,STAT318,1,1,66,EE211,1,1,68
jha3938@lionstate.edu,CMPEN362,1,1,68,EE211,1,1,71,MATH141,2,1,92
sbr1332@lionstate.edu,IST110,2,1,99,EE211,2,1,90,CMPEN351,2,1,74
kba3474@lionstate.edu,MATH230,1,1,61,CMPSC448,1,1,78,CSE583,2,1,62
lvo2571@lionstate.edu,PHYS211,2,1,91,CMPEN411,2,1,84,STAT415,2,1,89
mtr1113@lionstate.edu,CMPEN431,2,1,88,PHYS214,2,1,95,EE210,1,1,98
zpr3563@lionstate.edu,STAT318,1,1,93,CMPSC360,1,1,91,IST128,1,1,70
mru2747@lionstate.edu,CMPSC465,2,1,93,EE211,2,1,100,CMPEN351,2,1,96
